phonon1,phonon2,distance
b+o,k+e,70.096237
b+o,k+o,68.014539
b+o,m+a,65.124354
b+o,m+i,66.419307
b+o,m+u,66.067909
b+o,m+e,66.396234
b+o,m+o,64.923756
b+o,n+a,65.732596
b+o,n+i,65.984091
b+o,n+u,66.21252
b+o,n+e,66.554786
b+o,n+o,67.195851
b+o,p+a,68.087106
b+o,p+i,73.358401
b+o,p+u,67.533626
b+o,p+e,69.029589
b+o,p+o,67.020048
b+o,r+a,64.760488
b+o,r+i,66.052844
b+o,r+u,64.928621
b+o,r+e,65.686474
b+o,r+o,64.221986
b+o,s+a,70.434965
b+o,s+i,70.937048
b+o,s+u,70.936992
b+o,s+e,70.436276
b+o,s+o,70.936974
b+o,t+a,70.320692
b+o,t+i,71.327901
b+o,t+u,69.391079
b+o,t+e,71.151753
b+o,t+o,68.759334
b+o,w+a,68.155034
b+o,w+i,68.155966
b+o,w+u,68.155034
b+o,w+e,68.155966
b+o,w+o,68.155034
b+o,y+a,69.354027
b+o,y+i,69.954199
b+o,y+u,69.954199
b+o,y+e,69.559266
b+o,y+o,69.559266
b+o,z+a,66.080725
b+o,z+i,66.216882
b+o,z+u,66.216882
b+o,z+e,66.164016
b+o,z+o,65.760481
b+o,by+a,68.521087
b+o,by+i,68.859507
b+o,by+u,68.859507
b+o,by+e,68.85532
b+o,by+o,68.85532
b+o,ch+a,71.230291
b+o,ch+i,70.213155
b+o,ch+u,70.214046
b+o,ch+e,71.3686
b+o,ch+o,70.370685
b+o,dy+a,79.864526
b+o,dy+i,79.864526
b+o,dy+u,79.864526
b+o,dy+e,79.864526
b+o,dy+o,79.864526
b+o,gy+a,66.69305
b+o,gy+i,66.792427
b+o,gy+u,66.792427
b+o,gy+e,66.76048
b+o,gy+o,66.76048
b+o,hy+a,71.818915
b+o,hy+i,71.852836
b+o,hy+u,71.852836
b+o,hy+e,71.700826
b+o,hy+o,71.700826
b+o,ky+a,69.855368
b+o,ky+i,69.857974
b+o,ky+u,69.857974
b+o,ky+e,69.709226
b+o,ky+o,69.709226
b+o,my+a,68.403343
b+o,my+i,68.404689
b+o,my+u,68.404689
b+o,my+e,68.404654
b+o,my+o,68.404654
b+o,ny+a,67.535604
b+o,ny+i,67.477409
b+o,ny+u,67.477409
b+o,ny+e,67.535604
b+o,ny+o,67.535604
b+o,py+a,74.927862
b+o,py+i,75.205802
b+o,py+u,75.205802
b+o,py+e,74.74874
b+o,py+o,74.74874
b+o,ry+a,66.186477
b+o,ry+i,66.183811
b+o,ry+u,66.183811
b+o,ry+e,66.186477
b+o,ry+o,66.186477
b+o,sh+a,70.921881
b+o,sh+i,70.926031
b+o,sh+u,72.378861
b+o,sh+e,70.926526
b+o,sh+o,72.366978
b+o,ts+a,69.843714
b+o,ts+i,69.842279
b+o,ts+u,69.843714
b+o,ts+e,69.842279
b+o,ts+o,69.829613
b+o,sp,70.011697
d+a,b+a,64.772728
d+a,b+i,68.064254
d+a,b+u,66.39888
d+a,b+e,67.177214
d+a,b+o,66.479521
d+a,d+a,60.045362
d+a,d+i,65.370844
d+a,d+u,63.396107
d+a,d+e,66.049671
d+a,d+o,63.339202
d+a,f+a,72.447945
d+a,f+i,72.309976
d+a,f+u,72.57515
d+a,f+e,72.309976
d+a,f+o,72.447945
d+a,g+a,64.649466
d+a,g+i,67.000921
d+a,g+u,66.799712
d+a,g+e,66.876599
d+a,g+o,67.880104
d+a,h+a,70.50192
d+a,h+i,72.66251
d+a,h+u,70.502851
d+a,h+e,73.065233
d+a,h+o,74.137467
